Time,Memory_Pressure,CPU_Pressure,Swap_Activity,Compression_Ratio,Node0_Free,Node1_Free,NUMA_Miss_Rate,Algorithm,Compression_Ratio_Node0,Compression_Ratio_Node1
2026-03-09 18:02:52.177648,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:02:58.179797,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:03:04.181097,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:03:10.182299,0.0,10.1,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:03:16.183535,0.0,15.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:03:22.184671,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:03:28.185900,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:03:34.186954,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:03:40.188246,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:03:46.189414,0.0,0.2,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:03:52.190588,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:03:58.191813,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:04:04.193040,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:04:10.195126,0.0,8.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:04:16.196547,0.0,16.5,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:04:22.197888,0.0,0.8,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:04:28.200045,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:04:34.201480,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:04:40.202630,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:04:46.203835,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:04:52.205020,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:04:58.206217,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:05:04.207640,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:05:10.208717,0.0,8.7,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:05:16.210739,0.0,16.2,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:05:22.211948,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:05:28.214034,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:05:34.215180,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:05:40.216342,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:05:46.217668,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:05:52.218917,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:05:58.220063,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:06:04.221181,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:06:10.222339,0.0,8.5,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:06:16.223306,0.0,16.3,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:06:22.224405,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:06:28.225695,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:06:34.226885,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:06:40.228077,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:06:46.229303,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:06:52.230608,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:06:58.231794,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:07:04.233000,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:07:10.234170,0.0,8.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:07:16.235289,0.0,16.5,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:07:22.236483,0.0,0.5,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:07:28.237673,0.0,0.3,False,1.0,0,0,0,lzo,1.0,1.0
